Subject,Procedure[Trial],Start.OnsetTime,Images.OnsetTime,Condition.paramod,Images.ACC,Images.RT
23,1,48619,122338,1,1,1064
23,1,48619,126240,3,1,830
23,1,48619,130009,1,0,928
23,1,48619,132881,2,1,1840
23,2,48619,154632,0,1,541
23,2,48619,157886,0,1,361
23,2,48619,160542,0,1,376
23,2,48619,163199,0,1,328
23,2,48619,165689,0,1,426
23,2,48619,168794,0,1,486
23,2,48619,172181,0,1,370
23,2,48619,174439,0,0,485
23,2,48619,177312,0,1,773
23,2,48619,180350,0,1,417
23,2,48619,183057,0,1,354
23,1,48619,202366,3,1,861
23,1,48619,205455,3,0,657
23,1,48619,208759,2,0,1027
23,1,48619,213208,2,0,761
23,1,48619,217509,3,1,887
23,1,48619,221626,2,0,730
23,1,48619,225296,2,1,712
23,1,48619,229148,1,0,528
23,1,48619,231323,1,1,510
23,2,48619,251413,0,1,1022
23,2,48619,255780,0,1,453
23,2,48619,259117,0,1,527
23,2,48619,261823,0,1,537
23,2,48619,265144,0,1,541
23,2,48619,267751,0,1,497
23,2,48619,272217,0,1,524
23,2,48619,276119,0,1,498
23,2,48619,279290,0,1,547
23,1,48619,298998,2,1,723
23,1,48619,301472,2,1,1102
23,1,48619,305457,1,1,741
23,1,48619,309243,1,0,1054
23,1,48619,313825,2,0,1080
23,1,48619,317345,1,0,0
23,1,48619,322376,1,1,2139
23,1,48619,327656,3,0,888
23,2,48619,347746,0,0,0
23,2,48619,352627,0,1,730
23,2,48619,356728,0,1,728
23,2,48619,360431,0,1,489
23,2,48619,363287,0,1,573
23,2,48619,365727,0,1,638
23,2,48619,368849,0,1,495
23,2,48619,372452,0,1,580
23,2,48619,375507,0,1,1319
23,1,48619,396793,1,0,1551
23,1,48619,401176,1,1,1296
23,1,48619,404613,3,0,714
23,1,48619,407967,3,0,1305
23,1,48619,411237,1,0,1875
23,1,48619,415654,3,0,1389
23,1,48619,419091,3,1,1754
23,1,48619,423142,2,1,1199
28,2,51496,60844,0,1,345
28,2,51496,63434,0,1,468
28,2,51496,66041,0,1,499
28,2,51496,68880,0,1,570
28,2,51496,72782,0,1,337
28,2,51496,76053,0,1,448
28,2,51496,80237,0,1,482
28,2,51496,83657,0,1,464
28,2,51496,87160,0,1,392
28,2,51496,89601,0,1,576
28,1,51496,109243,2,1,1253
28,1,51496,113327,1,1,875
28,1,51496,116531,3,1,1246
28,1,51496,120217,3,1,839
28,1,51496,124285,1,0,1585
28,1,51496,128702,3,1,749
28,1,51496,132388,1,0,1449
28,1,51496,135775,2,0,1068
28,2,51496,156595,0,1,539
28,2,51496,159766,0,1,394
28,2,51496,162406,0,1,773
28,2,51496,165428,0,1,448
28,2,51496,168018,0,1,392
28,2,51496,171040,0,1,436
28,2,51496,174377,0,1,413
28,2,51496,176635,0,1,439
28,2,51496,179408,0,1,415
28,2,51496,182065,0,1,390
28,2,51496,184705,0,1,550
28,1,51496,204213,3,1,851
28,1,51496,207302,3,1,699
28,1,51496,210639,2,1,676
28,1,51496,214740,2,1,772
28,1,51496,219040,3,1,1156
28,1,51496,223440,2,1,1459
28,1,51496,227840,2,1,988
28,1,51496,231958,1,0,1607
28,2,51496,251732,0,1,438
28,2,51496,255501,0,1,502
28,2,51496,258838,0,1,438
28,2,51496,261412,0,1,367
28,2,51496,264517,0,1,659
28,2,51496,267223,0,1,432
28,2,51496,271590,0,1,349
28,2,51496,275309,0,1,411
28,2,51496,278364,0,1,460
28,2,51496,281452,0,1,403
28,1,51496,301509,2,1,934
28,1,51496,304182,2,1,697
28,1,51496,307719,1,1,690
28,1,51496,311454,1,1,896
28,1,51496,315887,2,0,1089
28,1,51496,319407,1,0,699
28,1,51496,322645,1,0,1067
28,1,51496,326846,3,1,793
28,1,51496,330266,3,1,1081
28,2,51496,350705,0,1,359
28,2,51496,353411,0,1,470
28,2,51496,357213,0,1,430
28,2,51496,360583,0,1,375
28,2,51496,363340,0,1,590
28,2,51496,365780,0,1,555
28,2,51496,368769,0,1,511
28,2,51496,372322,0,1,464
28,2,51496,375228,0,1,511
28,2,51496,379179,0,1,436
28,1,51496,398074,1,1,977
28,1,51496,401893,1,1,982
28,1,51496,405014,3,1,701
28,1,51496,408351,3,1,888
28,1,51496,411174,1,1,1209
28,1,51496,414926,3,1,959
28,1,51496,417931,3,0,827
28,1,51496,421003,2,0,1167
28,1,51496,424954,2,1,725
31,2,12531,21862,0,1,541
31,2,12531,24651,0,1,548
31,2,12531,27341,0,1,491
31,2,12531,30180,0,1,430
31,2,12531,33949,0,1,538
31,2,12531,37419,0,1,417
31,2,12531,41570,0,1,434
31,2,12531,44940,0,1,865
31,2,12531,48842,0,1,678
31,2,12531,51565,0,1,519
31,1,12531,71140,2,1,1792
31,1,12531,75773,1,0,1908
31,1,12531,80023,3,1,1404
31,1,12531,83875,3,1,1016
31,1,12531,88126,1,0,1707
31,1,12531,92675,3,1,1105
31,1,12531,96709,1,1,1061
31,1,12531,99715,2,0,1237
31,2,12531,120701,0,1,1506
31,2,12531,124852,0,1,465
31,2,12531,127558,0,1,567
31,2,12531,130364,0,1,533
31,2,12531,133037,0,1,526
31,2,12531,136242,0,1,423
31,2,12531,139496,0,1,543
31,2,12531,141887,0,1,670
31,2,12531,144892,0,1,393
31,2,12531,147532,0,1,466
31,2,12531,150238,0,1,666
31,1,12531,169864,3,1,948
31,1,12531,173051,3,1,1184
31,1,12531,176870,2,1,1242
31,1,12531,181552,2,1,1908
31,1,12531,186998,3,1,997
31,1,12531,191232,2,1,958
31,1,12531,195134,2,1,1276
31,1,12531,199550,1,0,1312
31,2,12531,219026,0,1,1079
31,2,12531,223476,0,1,458
31,2,12531,226763,0,1,839
31,2,12531,229752,0,1,1351
31,2,12531,233836,0,1,643
31,2,12531,236526,0,1,1591
31,2,12531,242055,0,1,658
31,2,12531,246039,0,1,454
31,1,12531,265648,2,1,1313
31,1,12531,268703,2,1,1123
31,1,12531,272655,1,1,1575
31,1,12531,277270,1,1,1038
31,1,12531,281836,2,1,1805
31,1,12531,286070,1,0,1678
31,1,12531,290287,1,0,1904
31,1,12531,295335,3,1,1235
31,2,12531,315724,0,1,1479
31,2,12531,319542,0,1,379
31,2,12531,323245,0,1,535
31,2,12531,326715,0,1,405
31,2,12531,329454,0,1,532
31,2,12531,331829,0,1,663
31,2,12531,334934,0,1,494
31,2,12531,338470,0,1,547
31,2,12531,341459,0,1,651
31,2,12531,345609,0,1,441
31,1,12531,364521,1,1,2214
31,1,12531,369568,1,1,1095
31,1,12531,372806,3,1,831
31,1,12531,376276,3,1,970
31,1,12531,379165,1,1,1519
31,1,12531,383216,3,0,661
31,1,12531,385906,3,1,1103
31,1,12531,389243,2,1,1336
31,1,12531,393311,2,1,1438
35,2,29128,38459,0,1,865
35,2,29128,41564,0,1,560
35,2,29128,44254,0,1,684
35,2,29128,47275,0,1,482
35,2,29128,51094,0,1,701
35,2,29128,54730,0,1,568
35,2,29128,59030,0,1,665
35,2,29128,62633,0,1,595
35,2,29128,66269,0,1,726
35,1,29128,85546,2,1,2939
35,1,29128,90876,1,1,2066
35,1,29128,95292,3,1,1740
35,1,29128,99476,3,1,1526
35,1,29128,104241,1,1,2910
35,1,29128,109571,3,1,3045
35,1,29128,115000,1,0,2154
35,2,29128,135621,0,1,611
35,2,29128,138876,0,1,873
35,2,29128,141981,0,1,1019
35,2,29128,145235,0,1,581
35,2,29128,147958,0,1,686
35,2,29128,151278,0,1,812
35,2,29128,154931,0,1,620
35,2,29128,157388,0,1,996
35,2,29128,160726,0,1,1140
35,2,29128,164096,0,1,789
35,1,29128,183655,3,1,1017
35,1,29128,186909,3,1,1022
35,1,29128,190562,2,1,1889
35,1,29128,195875,2,1,1640
35,1,29128,201039,3,1,1314
35,1,29128,205588,2,1,1848
35,1,29128,210370,2,1,1053
